Conflict_ID,Route id,Exit_Signal,Point,Position,In Route,Conflict_Route_id,Exit_Signal,Point_Position,In_Route,Unless_Condition,Conflicted
NME/R526C-NME/R529A,NME/R526C,NME/S550,NME/P429,normal,FALSE,NME/R529A,NME/C487,reverse,TRUE,unless_pseudo_normal,NO
NME/R526C-NME/R529B,NME/R526C,NME/S550,NME/P429,normal,FALSE,NME/R529B,NME/C485,reverse,TRUE,unless_pseudo_normal,NO
NME/R526C-NME/R529C,NME/R526C,NME/S550,NME/P429,normal,FALSE,NME/R529C,NME/C483,reverse,TRUE,unless_pseudo_normal,NO
NME/R529A-NME/R526C,NME/R529A,NME/C487,NME/P429,reverse,TRUE,NME/R526C,NME/S550,normal,FALSE,unless_pseudo_normal,NO
NME/R529B-NME/R526C,NME/R529B,NME/C485,NME/P429,reverse,TRUE,NME/R526C,NME/S550,normal,FALSE,unless_pseudo_normal,NO
NME/R529C-NME/R526C,NME/R529C,NME/C483,NME/P429,reverse,TRUE,NME/R526C,NME/S550,normal,FALSE,unless_pseudo_normal,NO
NME/R571A-NME/R783A,NME/R571A,SKN/S769,NME/P681,reverse,TRUE,NME/R783A,NME/S781,normal,FALSE,unless_pseudo_normal,YES
NME/R783A-NME/R571A,NME/R783A,NME/S781,NME/P681,normal,FALSE,NME/R571A,SKN/S769,reverse,TRUE,unless_pseudo_normal,YES
SKN/R756B-SKN/R757A,SKN/R756B,SKN/S768,SKN/P666,reverse,TRUE,SKN/R757A,SKN/S755,normal,FALSE,unless_pseudo_normal,YES
SKN/R756B-SKN/R764A,SKN/R756B,SKN/S768,SKN/P666,reverse,TRUE,SKN/R764A,SKN/S766,normal,FALSE,unless_pseudo_normal,YES
SKN/R757A-SKN/R756B,SKN/R757A,SKN/S755,SKN/P666,normal,FALSE,SKN/R756B,SKN/S768,reverse,TRUE,unless_pseudo_normal,YES
SKN/R757A-SKN/R756B,SKN/R757A,SKN/S755,SKN/P655,normal,FALSE,SKN/R756B,SKN/S768,reverse,FALSE,unless_pseudo_normal,YES
SKN/R757A-SKN/R763B,SKN/R757A,SKN/S755,SKN/P655,normal,FALSE,SKN/R763B,SKN/S655,reverse,TRUE,unless_pseudo_normal,YES
SKN/R757A-SKN/R763B,SKN/R757A,SKN/S755,SKN/P666,normal,FALSE,SKN/R763B,SKN/S655,reverse,FALSE,unless_pseudo_normal,YES
SKN/R763B-SKN/R757A,SKN/R763B,SKN/S655,SKN/P655,reverse,TRUE,SKN/R757A,SKN/S755,normal,FALSE,unless_pseudo_normal,YES
SKN/R764A-SKN/R756B,SKN/R764A,SKN/S766,SKN/P666,normal,FALSE,SKN/R756B,SKN/S768,reverse,TRUE,unless_pseudo_normal,YES
SKN/R764A-SKN/R763B,SKN/R764A,SKN/S766,SKN/P666,normal,FALSE,SKN/R763B,SKN/S655,reverse,FALSE,unless_pseudo_normal,YES
SSN/R304A-SSS/R206A,SSN/R304A,SSS/S306,SSS/P203,normal,FALSE,SSS/R206A,SSS/S082,reverse,TRUE,unless_pseudo_normal,YES
SSN/R304A-SSS/R206B,SSN/R304A,SSS/S306,SSS/P203,normal,FALSE,SSS/R206B,SSS/S284,reverse,TRUE,unless_pseudo_normal,YES
SSN/R304A-SSS/R206C,SSN/R304A,SSS/S306,SSS/P203,normal,FALSE,SSS/R206C,SSS/S426,reverse,TRUE,unless_pseudo_normal,YES
SSN/R304A-SSS/R207B,SSN/R304A,SSS/S306,SSS/P203,normal,FALSE,SSS/R207B,SSS/S021,reverse,TRUE,unless_pseudo_normal,YES
SSN/R304A-SSS/R303B,SSN/R304A,SSS/S306,SSS/P203,normal,FALSE,SSS/R303B,SSS/S021,reverse,TRUE,unless_pseudo_normal,YES
SSN/R704B-TSS/R716A,SSN/R704B,TSS/S720,SSN/P604,reverse,TRUE,TSS/R716A,TSS/S718,normal,FALSE,unless_pseudo_normal,YES
SSS/R206A-SSN/R304A,SSS/R206A,SSS/S082,SSS/P203,reverse,TRUE,SSN/R304A,SSS/S306,normal,FALSE,unless_pseudo_normal,YES
SSS/R206B-SSN/R304A,SSS/R206B,SSS/S284,SSS/P203,reverse,TRUE,SSN/R304A,SSS/S306,normal,FALSE,unless_pseudo_normal,YES
